"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a1","0.51894621","0.541442492","0.708265533","0.781693889","2.085624712","1.031878815"
"a2","0.81126694","1.172166998","0.889164913","0.873994733","1.36649423","0.8827778"
"a3","0.739484065","1.909586221","0.182475889","1.829097581","2.101791289","1.511142908"
"a4","0.21830877","1.415804229","1.550990577","0.902633624","1.954148212","1.482770352"
"a5","1.062228736","1.083193634","1.059818181","0.639647383","1.237648403","1.025454529"
"a6","0.850336203","0.101272224","0.49680186","0.82732183","1.22495702","0.075520019"
"a7","0.270058077","0.63298003","0.337802137","0.482845284","1.218159565","0.724050247"
"a8","0.729373194","1.319713759","0.536350237","0.924452693","1.366632617","0.818348877"
"a9","0.159854772","0.159911869","0.689779645","0.860214113","1.637006826","1.028542199"
"a10","0.53495586","1.279448537","1.011852256","1.096667105","1.349836587","0.766268612"
"a11","0.641907926","1.306975945","1.14324578","1.430504955","1.853354104","1.277556796"
"a12","0.369678613","0.978706265","0.067594497","0.631051557","0.360166438","0.507915652"
"a13","0.553188478","0.920914803","0.566675934","1.102284631","1.846037114","0.988760638"
"a14","0.628146847","0.804441578","1.316922611","1.353238443","2.239832753","1.164427427"
"a15","0.593617793","1.085084668","0.708764446","1.089094013","1.677195129","1.310166361"
"a16","0.485338964","0.724933632","0.887777917","0.782746287","2.473584246","0.938623335"
"a17","0.284650952","0.259022779","0.670389885","0.243009465","0.739884716","0.246309666"
"a18","0.788339115","1.027328997","0.99123297","0.854709584","0.956963689","0.893305963"
"a19","0.682884306","1.246131017","0.691914802","0.702097418","0.509051825","0.714082707"
"a20","0.078422266","0.133789052","0.172404472","0.117994652","0.117671468","0.099907295"
"a21","0.353868718","0.365092546","0.444197181","0.207217388","0.258038572","0.230545905"
"a22","0.124081582","0.157744327","0.309450777","0.123008737","0.185224526","0.187773688"
"a23","1.052067162","0.442316742","0.277639153","0.351991335","0.293022607","0.20173905"
"a24","0.873735299","0.482759307","0.754454405","0.395130092","0.538129921","0.428623506"
"a25","0.661189184","0.186090824","0.205146387","0.193373441","0.206448371","0.090369889"
"a26","1.220221676","0.553303116","0.69830638","0.59857671","0.546111703","0.351881199"
"a27","0.036917644","0.010264877","0.013349939","0.050556613","0.009621347","0.003091835"
"a28","0.227425416","0.055141205","0.044995475","0.045458369","0.039000818","0.012048455"
"a29","1.336502682","2.38225402","2.045076343","1.692218919","0.724080259","0.898713554"
"a30","1.601698148","1.426365244","1.834347307","1.815570133","1.165926777","0.717700043"
"a31","0.604552084","0.852061752","1.478986894","1.317640762","0.48933353","1.005730838"
"a32","1.26114079","2.546439781","2.864685615","2.022546834","0.539412621","1.169047545"
"a33","0.93731379","1.132296966","1.915483654","0.727725169","0.676587515","0.708147857"
"a34","1.749404196","2.948783306","4.555881753","2.223727359","0.769652572","1.104050192"
"a35","1.287016316","2.472562203","2.126232152","1.20744732","0.738982911","0.562991375"
"a36","1.060829693","1.117244157","1.080092066","0.910957545","1.347111856","0.874143456"
"a37","0.878798314","1.999689217","2.930770732","1.358051719","0.674826715","0.830394735"
"a38","1.522652442","2.84373593","4.687976795","1.129401903","0.807550035","0.837890993"
"a39","1.347566359","2.450385997","3.351190701","1.740390866","1.051639298","1.306123777"
"a40","0.922247403","1.995565019","2.624823146","2.871555598","1.441990916","1.766599314"
"a41","0.579268592","1.60173393","1.85145817","1.522938501","1.013964405","1.033835835"
"a42","1.012737381","1.779293453","3.212521031","0.949137023","0.70473085","0.705948714"
"a43","1.078300564","1.591667953","3.00234925","1.11780609","1.525346793","1.117316609"
"a44","1.479200203","3.182360452","3.039456398","1.651301022","0.809692361","1.69513878"
"a45","1.29191055","2.084721452","3.617623604","3.051830417","1.997573951","1.782107301"
"a46","1.648948764","2.916751394","5.19005151","1.466193439","0.80034275","1.468581673"
"a47","0.247627109","1.639351734","1.574609287","2.724160341","1.641325223","1.240356374"
"a48","1.020607926","1.935815244","1.891917784","1.401418481","2.011773943","1.990227728"
"a49","1.15792604","2.302950156","3.616621964","2.616318808","1.53644398","1.98569004"
"a50","1.409520347","3.011252234","4.084156722","1.4784393","1.181708494","1.434760215"
"a51","0.771088658","1.2489514","1.763102944","3.136375533","1.69322221","1.657690814"
"a52","0.510410043","0.944897411","1.086930408","1.269342893","0.976234615","1.39191527"
"a53","1.121465365","1.191001767","1.568914489","2.555307101","1.34335574","1.504363133"
"a54","0.352971481","0.4504081","1.150005005","0.609337669","0.341709887","0.341386257"
"a55","0.72783809","1.319756878","1.019840561","0.889359001","0.464782134","0.557966224"
"a56","0.863286051","0.682749447","0.535122541","0.527214043","0.205259567","0.277276452"
"a57","0.320968283","0.228894974","0.099767586","0.131325367","0.141724107","0.059710367"
"a58","0.441167086","0.256190798","0.16805184","0.230570257","0.476640127","0.110871417"
"a59","0.202655074","0.188645194","0.14217903","0.139911725","0.185067574","0.07368727"
"a60","1.060592557","1.074437975","0.556526559","0.430212315","0.676780871","0.249849412"
"a61","0.01697821","0.036179478","0.027445201","0.054341592","0.014867037","0.020540986"
"a62","0.104226576","0.128088434","0.085535036","0.128682557","0.092032135","0.012865773"
"a63","0.428532073","0.223533809","1.89394402","0.785687478","1.095659998","0.50649706"
"a64","0.948078681","1.116157375","1.30453117","1.037264733","1.163794295","0.929214902"
"a65","1.175876272","1.471152386","1.171807389","1.090415923","1.219114067","0.891151851"
"a66","0.79128519","0.642042809","1.57451214","0.979875669","0.958019503","0.51445359"
"a67","0.924633051","1.171654363","1.250414333","0.962690622","0.95488768","0.766643022"
"a68","1.124767015","0.793325521","1.771854862","0.841800304","0.978542773","0.523586545"
"a69","0.997001918","1.263052667","1.307957361","0.843266283","0.828555368","0.769515142"
"a70","1.268399557","1.081185692","2.459091197","0.947994931","0.887513557","0.619808774"
"a71","0.916964206","1.094443781","1.181114716","0.827179075","0.91236041","0.772050584"
"a72","1.000613372","1.191979047","1.312912038","0.915983178","1.006515721","0.84746743"
